"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_20~29세","2018년_계_30~39세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_20~29세","2018년_남_30~39세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_20~29세","2018년_여_30~39세","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_20~29세","2019년_계_30~39세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_20~29세","2019년_남_30~39세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_20~29세","2019년_여_30~39세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_20~29세","2020년_계_30~39세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_20~29세","2020년_남_30~39세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_20~29세","2020년_여_30~39세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_20~29세","2021년_계_30~39세","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_20~29세","2021년_남_30~39세","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_20~29세","2021년_여_30~39세","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_20~29세","2022년_계_30~39세","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_20~29세","2022년_남_30~39세","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_20~29세","2022년_여_30~39세"
"전국  (0000000000)","51,826,059","14,094,116","6,823,973","7,270,143","25,866,129","7,315,406","3,591,833","3,723,573","25,959,930","6,778,710","3,232,140","3,546,570","51,849,861","13,881,380","6,810,356","7,071,024","25,864,816","7,214,217","3,582,927","3,631,290","25,985,045","6,667,163","3,227,429","3,439,734","51,829,023","13,679,270","6,806,153","6,873,117","25,841,029","7,115,215","3,573,667","3,541,548","25,987,994","6,564,055","3,232,486","3,331,569","51,638,809","13,379,358","6,655,923","6,723,435","25,746,684","6,964,393","3,491,682","3,472,711","25,892,125","6,414,965","3,164,241","3,250,724","51,439,038","13,032,692","6,417,181","6,615,511","25,636,951","6,790,453","3,361,589","3,428,864","25,802,087","6,242,239","3,055,592","3,186,647"
"서울특별시  (1100000000)","9,765,623","2,998,560","1,449,790","1,548,770","4,773,899","1,490,382","716,197","774,185","4,991,724","1,508,178","733,593","774,585","9,729,107","2,966,582","1,456,623","1,509,959","4,744,059","1,468,490","713,660","754,830","4,985,048","1,498,092","742,963","755,129","9,668,465","2,935,517","1,460,411","1,475,106","4,701,723","1,445,570","707,669","737,901","4,966,742","1,489,947","752,742","737,205","9,509,458","2,861,556","1,422,277","1,439,279","4,618,040","1,403,293","684,530","718,763","4,891,418","1,458,263","737,747","720,516","9,428,372","2,815,291","1,389,483","1,425,808","4,570,048","1,376,914","664,239","712,675","4,858,324","1,438,377","725,244","713,133"
"부산광역시  (2600000000)","3,441,453","899,448","444,737","454,711","1,692,421","465,800","233,755","232,045","1,749,032","433,648","210,982","222,666","3,413,841","871,859","436,149","435,710","1,675,417","451,185","228,729","222,456","1,738,424","420,674","207,420","213,254","3,391,946","850,001","430,987","419,014","1,661,000","438,814","224,517","214,297","1,730,946","411,187","206,470","204,717","3,350,380","820,849","415,549","405,300","1,639,044","423,317","215,370","207,947","1,711,336","397,532","200,179","197,353","3,317,812","791,825","395,398","396,427","1,619,915","407,566","204,011","203,555","1,697,897","384,259","191,387","192,872"
"대구광역시  (2700000000)","2,461,769","648,823","330,845","317,978","1,219,342","341,885","179,001","162,884","1,242,427","306,938","151,844","155,094","2,438,031","629,627","323,641","305,986","1,205,286","332,114","174,194","157,920","1,232,745","297,513","149,447","148,066","2,418,346","615,844","321,534","294,310","1,193,109","324,745","171,675","153,070","1,225,237","291,099","149,859","141,240","2,385,412","593,786","308,921","284,865","1,175,632","313,936","164,484","149,452","1,209,780","279,850","144,437","135,413","2,363,691","573,820","294,363","279,457","1,162,865","304,025","156,048","147,977","1,200,826","269,795","138,315","131,480"
"인천광역시  (2800000000)","2,954,642","843,463","409,794","433,669","1,481,844","437,532","214,091","223,441","1,472,798","405,931","195,703","210,228","2,957,026","828,797","407,608","421,189","1,482,249","430,262","213,116","217,146","1,474,777","398,535","194,492","204,043","2,942,828","807,692","401,546","406,146","1,473,943","419,388","209,363","210,025","1,468,885","388,304","192,183","196,121","2,948,375","793,142","391,051","402,091","1,476,373","412,113","203,834","208,279","1,472,002","381,029","187,217","193,812","2,967,314","781,788","376,526","405,262","1,485,175","406,702","196,168","210,534","1,482,139","375,086","180,358","194,728"
"광주광역시  (2900000000)","1,459,336","406,163","205,743","200,420","722,581","208,796","107,730","101,066","736,755","197,367","98,013","99,354","1,456,468","400,391","207,448","192,943","720,740","206,205","108,393","97,812","735,728","194,186","99,055","95,131","1,450,062","395,242","209,375","185,867","717,348","204,204","109,335","94,869","732,714","191,038","100,040","90,998","1,441,611","387,661","206,472","181,189","713,015","200,564","107,781","92,783","728,596","187,097","98,691","88,406","1,431,050","376,036","198,619","177,417","707,299","194,752","103,581","91,171","723,751","181,284","95,038","86,246"
"대전광역시  (3000000000)","1,489,936","422,995","213,955","209,040","744,338","220,123","112,938","107,185","745,598","202,872","101,017","101,855","1,474,870","413,109","212,629","200,480","736,607","215,680","112,059","103,621","738,263","197,429","100,570","96,859","1,463,882","406,576","212,488","194,088","730,699","212,714","111,421","101,293","733,183","193,862","101,067","92,795","1,452,251","399,066","209,397","189,669","724,626","209,042","109,664","99,378","727,625","190,024","99,733","90,291","1,446,072","391,878","203,887","187,991","721,245","205,724","106,826","98,898","724,827","186,154","97,061","89,093"
"울산광역시  (3100000000)","1,155,623","319,567","153,359","166,208","593,819","172,869","85,599","87,270","561,804","146,698","67,760","78,938","1,148,019","308,880","149,137","159,743","589,712","167,763","83,553","84,210","558,307","141,117","65,584","75,533","1,136,017","296,274","144,569","151,705","583,708","161,765","81,200","80,565","552,309","134,509","63,369","71,140","1,121,592","282,313","137,422","144,891","576,217","154,733","77,588","77,145","545,375","127,580","59,834","67,746","1,110,663","268,844","129,209","139,635","570,368","148,006","73,073","74,933","540,295","120,838","56,136","64,702"
"세종특별자치시  (3600000000)","314,126","92,412","34,031","58,381","156,831","45,641","17,283","28,358","157,295","46,771","16,748","30,023","340,575","97,804","36,340","61,464","169,845","48,341","18,357","29,984","170,730","49,463","17,983","31,480","355,831","98,945","37,453","61,492","177,568","49,054","19,050","30,004","178,263","49,891","18,403","31,488","371,895","100,229","38,510","61,719","185,678","49,859","19,728","30,131","186,217","50,370","18,782","31,588","383,591","99,462","38,379","61,083","191,389","49,654","19,705","29,949","192,202","49,808","18,674","31,134"
"경기도  (4100000000)","13,077,153","3,698,625","1,749,054","1,949,571","6,577,501","1,914,016","917,804","996,212","6,499,652","1,784,609","831,250","953,359","13,239,666","3,696,522","1,770,695","1,925,827","6,659,995","1,919,798","931,439","988,359","6,579,671","1,776,724","839,256","937,468","13,427,014","3,715,307","1,807,848","1,907,459","6,754,469","1,934,580","951,737","982,843","6,672,545","1,780,727","856,111","924,616","13,565,450","3,698,716","1,798,269","1,900,447","6,827,298","1,931,442","947,823","983,619","6,738,152","1,767,274","850,446","916,828","13,589,432","3,619,591","1,737,291","1,882,300","6,839,276","1,894,368","916,141","978,227","6,750,156","1,725,223","821,150","904,073"
"강원도  (4200000000)","1,543,052","358,469","182,891","175,578","776,456","193,929","102,581","91,348","766,596","164,540","80,310","84,230","1,541,502","351,771","181,102","170,669","775,386","190,545","101,470","89,075","766,116","161,226","79,632","81,594","1,542,840","346,364","180,015","166,349","776,505","188,728","101,305","87,423","766,335","157,636","78,710","78,926","1,538,492","338,241","175,424","162,817","774,332","184,611","98,744","85,867","764,160","153,630","76,680","76,950","1,536,498","330,559","170,194","160,365","772,947","180,574","95,604","84,970","763,551","149,985","74,590","75,395"
"충청북도  (4300000000)","1,599,252","406,509","200,941","205,568","808,971","218,850","110,912","107,938","790,281","187,659","90,029","97,630","1,600,007","400,285","200,205","200,080","810,384","216,579","111,152","105,427","789,623","183,706","89,053","94,653","1,600,837","393,886","199,209","194,677","811,591","214,132","110,849","103,283","789,246","179,754","88,360","91,394","1,597,427","385,022","194,415","190,607","810,672","210,231","108,354","101,877","786,755","174,791","86,061","88,730","1,595,058","375,742","188,310","187,432","810,782","206,385","104,821","101,564","784,276","169,357","83,489","85,868"
"충청남도  (4400000000)","2,126,282","537,386","248,443","288,943","1,082,009","289,963","135,709","154,254","1,044,273","247,423","112,734","134,689","2,123,709","524,990","245,737","279,253","1,081,938","284,360","134,935","149,425","1,041,771","240,630","110,802","129,828","2,121,029","511,798","243,200","268,598","1,082,634","278,806","134,208","144,598","1,038,395","232,992","108,992","124,000","2,119,257","497,862","238,297","259,565","1,083,366","271,761","131,774","139,987","1,035,891","226,101","106,523","119,578","2,123,037","484,574","231,139","253,435","1,086,632","265,514","128,393","137,121","1,036,405","219,060","102,746","116,314"
"전라북도  (4500000000)","1,836,832","425,428","217,554","207,874","913,297","223,818","116,781","107,037","923,535","201,610","100,773","100,837","1,818,917","411,844","213,865","197,979","904,110","217,037","115,138","101,899","914,807","194,807","98,727","96,080","1,804,104","400,476","211,464","189,012","896,874","211,674","114,209","97,465","907,230","188,802","97,255","91,547","1,786,855","388,760","206,579","182,181","888,994","205,931","111,771","94,160","897,861","182,829","94,808","88,021","1,769,607","374,789","198,284","176,505","880,592","199,163","107,645","91,518","889,015","175,626","90,639","84,987"
"전라남도  (4600000000)","1,882,970","411,745","206,817","204,928","943,000","220,463","112,850","107,613","939,970","191,282","93,967","97,315","1,868,745","400,334","204,910","195,424","937,674","216,184","113,410","102,774","931,071","184,150","91,500","92,650","1,851,549","386,773","200,709","186,064","930,615","210,009","112,080","97,929","920,934","176,764","88,629","88,135","1,832,803","372,163","193,735","178,428","922,221","202,332","108,408","93,924","910,582","169,831","85,327","84,504","1,817,697","358,232","185,970","172,262","915,272","194,663","104,135","90,528","902,425","163,569","81,835","81,734"
"경상북도  (4700000000)","2,676,831","619,667","300,125","319,542","1,346,689","337,104","168,236","168,868","1,330,142","282,563","131,889","150,674","2,665,836","601,357","294,550","306,807","1,342,037","328,720","165,620","163,100","1,323,799","272,637","128,930","143,707","2,639,422","575,280","284,163","291,117","1,329,211","316,113","160,830","155,283","1,310,211","259,167","123,333","135,834","2,626,609","555,496","276,021","279,475","1,323,661","306,072","156,417","149,655","1,302,948","249,424","119,604","129,820","2,600,492","529,688","261,320","268,368","1,311,881","293,173","148,701","144,472","1,288,611","236,515","112,619","123,896"
"경상남도  (4800000000)","3,373,988","835,415","394,180","441,235","1,697,412","446,619","217,287","229,332","1,676,576","388,796","176,893","211,903","3,362,553","810,243","387,562","422,681","1,692,032","434,430","214,250","220,180","1,670,521","375,813","173,312","202,501","3,340,216","777,994","378,436","399,558","1,681,423","419,423","210,511","208,912","1,658,793","358,571","167,925","190,646","3,314,183","742,547","362,661","379,886","1,668,338","401,582","202,593","198,989","1,645,845","340,965","160,068","180,897","3,280,493","703,314","341,089","362,225","1,651,675","381,886","191,246","190,640","1,628,818","321,428","149,843","171,585"
"제주특별자치도  (5000000000)","667,191","169,441","81,714","87,727","335,719","87,616","43,079","44,537","331,472","81,825","38,635","43,190","670,989","166,985","82,155","84,830","337,345","86,524","43,452","43,072","333,644","80,461","38,703","41,758","674,635","165,301","82,746","82,555","338,609","85,496","43,708","41,788","336,026","79,805","39,038","40,767","676,759","161,949","80,923","81,026","339,177","83,574","42,819","40,755","337,582","78,375","38,104","40,271","678,159","157,259","77,720","79,539","339,590","81,384","41,252","40,132","338,569","75,875","36,468","39,407"
